path,label,target,split
data/processed/music_raw/fake/fake_04508_udio_1.wav,fake,1,train
data/processed/music_raw/fake/fake_04871_udio_0.wav,fake,1,train
data/processed/music_raw/real/real_02737.wav,real,0,train
data/processed/music_raw/fake/fake_00057_suno_0.wav,fake,1,train
data/processed/music_raw/fake/fake_04410_udio_0.wav,fake,1,train
data/processed/music_raw/fake/fake_00286_udio_1.wav,fake,1,train
data/processed/music_raw/fake/fake_03306_udio_1.wav,fake,1,train
data/processed/music_raw/fake/fake_04418_suno_0.wav,fake,1,train
data/processed/music_raw/real/real_03517.wav,real,0,train
data/processed/music_raw/real/real_14781.wav,real,0,train
data/processed/music_raw/real/real_05496.wav,real,0,train
data/processed/music_raw/real/real_43093.wav,real,0,train
data/processed/music_raw/fake/fake_04860_suno_1.wav,fake,1,train
data/processed/music_raw/fake/fake_00867_suno_1.wav,fake,1,train
data/processed/music_raw/real/real_04393.wav,real,0,train
data/processed/music_raw/real/real_10086.wav,real,0,train
data/processed/music_raw/fake/fake_00211_suno_1.wav,fake,1,train
data/processed/music_raw/real/real_27300.wav,real,0,train
data/processed/music_raw/real/real_25244.wav,real,0,train
data/processed/music_raw/fake/fake_04976_suno_1.wav,fake,1,train
data/processed/music_raw/fake/fake_05201_udio_0.wav,fake,1,train
data/processed/music_raw/fake/fake_05378_udio_1.wav,fake,1,train
data/processed/music_raw/real/real_32337.wav,real,0,train
data/processed/music_raw/fake/fake_00070_suno_1.wav,fake,1,train
data/processed/music_raw/fake/fake_02986_suno_1.wav,fake,1,train
data/processed/music_raw/fake/fake_03124_udio_0.wav,fake,1,train
data/processed/music_raw/real/real_31224.wav,real,0,train
data/processed/music_raw/real/real_31843.wav,real,0,train
data/processed/music_raw/real/real_08910.wav,real,0,train
data/processed/music_raw/real/real_35400.wav,real,0,train
data/processed/music_raw/real/real_28922.wav,real,0,train
data/processed/music_raw/real/real_22280.wav,real,0,train
data/processed/music_raw/fake/fake_05116_suno_0.wav,fake,1,train
data/processed/music_raw/real/real_38619.wav,real,0,train
data/processed/music_raw/fake/fake_00961_udio_0.wav,fake,1,train
data/processed/music_raw/fake/fake_00943_udio_1.wav,fake,1,train
data/processed/music_raw/real/real_07014.wav,real,0,train
data/processed/music_raw/real/real_23742.wav,real,0,train
data/processed/music_raw/real/real_36174.wav,real,0,train
data/processed/music_raw/fake/fake_02787_udio_0.wav,fake,1,train
data/processed/music_raw/fake/fake_01691_suno_1.wav,fake,1,train
data/processed/music_raw/real/real_43530.wav,real,0,train
data/processed/music_raw/real/real_17641.wav,real,0,train
data/processed/music_raw/real/real_14291.wav,real,0,train
data/processed/music_raw/fake/fake_01196_udio_1.wav,fake,1,train
data/processed/music_raw/fake/fake_02842_suno_1.wav,fake,1,train
data/processed/music_raw/fake/fake_04580_suno_1.wav,fake,1,train
data/processed/music_raw/fake/fake_04275_udio_0.wav,fake,1,train
data/processed/music_raw/fake/fake_01376_udio_1.wav,fake,1,train
data/processed/music_raw/real/real_34384.wav,real,0,train
data/processed/music_raw/real/real_35240.wav,real,0,train
data/processed/music_raw/real/real_47721.wav,real,0,train
