path,lang,label,technique,system_id,speaker_id,source,text,augmentation
data/processed/en_augmented/LA_T_6741908_aug.wav,en,bonafide,real,-,LA_0086,asvspoof2019la,,rawboost
data/processed/en_augmented/LA_T_5805796_aug.wav,en,bonafide,real,-,LA_0096,asvspoof2019la,,none
data/processed/en_augmented/LA_T_3295065_aug.wav,en,spoof,tts,A04,LA_0091,asvspoof2019la,,rawboost
data/processed/en_augmented/LA_T_1596451_aug.wav,en,bonafide,real,-,LA_0079,asvspoof2019la,,rawboost+codec
data/processed/en_augmented/LA_T_7411125_aug.wav,en,spoof,tts,A01,LA_0091,asvspoof2019la,,codec
data/processed/en_augmented/LA_T_5315235_aug.wav,en,bonafide,real,-,LA_0092,asvspoof2019la,,rawboost
data/processed/en_augmented/LA_T_7683892_aug.wav,en,spoof,vc,A06,LA_0093,asvspoof2019la,,rawboost
data/processed/en_augmented/LA_T_9483901_aug.wav,en,bonafide,real,-,LA_0090,asvspoof2019la,,none
data/processed/en_augmented/LA_T_2547751_aug.wav,en,bonafide,real,-,LA_0086,asvspoof2019la,,codec
data/processed/en_augmented/LA_T_3957794_aug.wav,en,bonafide,real,-,LA_0094,asvspoof2019la,,rawboost
data/processed/en_augmented/LA_T_7321595_aug.wav,en,spoof,tts,A03,LA_0095,asvspoof2019la,,codec
data/processed/en_augmented/LA_T_6769763_aug.wav,en,bonafide,real,-,LA_0081,asvspoof2019la,,rawboost
data/processed/en_augmented/LA_T_3994219_aug.wav,en,spoof,vc,A05,LA_0097,asvspoof2019la,,rawboost
data/processed/en_augmented/LA_T_9242200_aug.wav,en,bonafide,real,-,LA_0080,asvspoof2019la,,rawboost+codec
data/processed/en_augmented/LA_T_5866788_aug.wav,en,spoof,tts,A04,LA_0096,asvspoof2019la,,none
data/processed/en_augmented/LA_T_5340625_aug.wav,en,bonafide,real,-,LA_0093,asvspoof2019la,,rawboost
data/processed/en_augmented/LA_T_3635733_aug.wav,en,bonafide,real,-,LA_0079,asvspoof2019la,,none
data/processed/en_augmented/LA_T_6271185_aug.wav,en,bonafide,real,-,LA_0088,asvspoof2019la,,codec
data/processed/en_augmented/LA_T_4810261_aug.wav,en,bonafide,real,-,LA_0093,asvspoof2019la,,codec
data/processed/en_augmented/LA_T_6663907_aug.wav,en,bonafide,real,-,LA_0089,asvspoof2019la,,none
data/processed/en_augmented/LA_T_3601574_aug.wav,en,spoof,vc,A05,LA_0094,asvspoof2019la,,codec
