filename,split,youtube_id,duration,skip_time,label
real_35122,train,Uc4B68eStyY,217.836,4.48596875,real
real_05718,train,KBVskvS7-vo,240.084,6.494093750000001,real
real_21456,train,BzOT12iGV4Y,240.084,49.91346875,real
real_49277,train,oBeQvt3G7Hw,141.768,16.34909375,real
real_14291,train,oh1m61YoBa0,240.084,43.24784375,real
real_19577,train,Z5De1oUzkYI,191.556,49.086593750000006,real
real_49017,train,5g_S9Vzp9Hs,207.972,0.03096875,real
real_21476,train,6Aw1WnNVcYw,240.084,46.04909375,real
real_15008,train,j8vjZBn-Luo,219.06,19.03221875,real
real_40745,train,rcbe1UfYvLM,199.584,7.87784375,real
real_37851,train,jGzF3JJgDxw,240.084,69.84284375,real
real_46354,train,SF5EPhiAlCg,240.084,19.06596875,real
real_00312,train,ufynqs_COF4,240.084,12.04596875,real
real_25503,train,UrY5oya9O-g,166.248,0.03096875,real
real_39494,train,tGdeNsDb2tU,202.608,17.53034375,real
real_14014,train,YHWvHp5m43E,159.3,9.39659375,real
real_36449,train,9XNWerqH9lg,210.096,1.80284375,real
real_48379,train,RQvs6dAmlYM,240.084,26.136593750000003,real
real_09206,train,mXM-tweYYLs,165.348,10.52721875,real
real_04395,train,WR7U7_cKJw4,240.084,55.48221875,real
real_07487,train,-G_uPYB97GE,224.676,39.45096875,real
real_06395,train,KfZ62w477U8,240.084,4.68846875,real
real_48150,train,3urdpv1bC4w,196.236,1.83659375,real
real_23669,train,XsYrGKn14jI,228.132,3.25409375,real
real_34538,train,NvMgWRtKvEA,200.196,0.03096875,real
real_49296,train,lsFMXK1YPG8,238.752,0.03096875,real
real_20673,train,dULHpzPg3ro,201.096,7.35471875,real
real_08460,train,zJ_AwTeBB1o,240.084,56.52846875,real
real_09766,train,5rIH5Akx6zI,234.432,7.574093750000001,real
real_15224,train,WJj8PTi_Fm8,224.784,37.22346875,real
real_04663,train,p7lHdbL--Ls,240.084,7.48971875,real
real_49187,train,X7_cMkFfXMQ,193.5,13.750343750000004,real
real_40064,train,exqCFoPiwpk,240.084,24.48284375,real
real_05133,train,dxytyRy-O1k,233.496,56.460968750000006,real
real_21199,train,ER9HTQMlasw,187.596,6.814718750000001,real
real_06319,train,NhTulKznx_Y,206.1,14.99909375,real
real_49149,train,bwhnTRcSlo8,212.832,113.97096875,real
real_34384,train,0La8Cusqo1w,240.084,0.03096875,real
real_40382,train,YTDlRIoYAzU,236.736,25.81596875,real
real_04363,train,f9LoukLaYNU,240.084,0.03096875,real
real_42643,train,a6wQvwVOuSo,225.252,0.60471875,real
real_27690,train,o0s_xIEDnAw,181.116,0.03096875,real
real_52461,train,hIs-UYN7i2I,240.084,12.552218750000002,real
real_19281,train,fwIjQP5glVQ,167.4,0.5372187500000001,real
real_07804,train,V4PPtGEqfdU,240.084,8.856593750000002,real
real_51957,train,OFY8MalwXFU,240.084,18.812843750000003,real
real_10294,train,NnXE794B4z8,180.036,15.57284375,real
real_15411,train,AjicUeO-Pwk,200.052,0.55409375,real
real_34127,train,sdXNtUr_ea8,162.18,6.17346875,real
real_48302,train,ki44dqy1ZAk,224.1,20.44971875,real
real_06148,train,ygJZUlJ-uZI,147.888,34.20284375,real
real_28868,train,4ruZrl2u3V4,239.22,9.39659375,real
real_50953,train,1nPDEMpHCac,178.38,16.16346875,real
real_31907,train,9LPNesOJ9KQ,198.648,2.34284375,real
real_14725,train,R1NPl2ZqAYA,201.096,15.26909375,real
real_14585,train,xWpEZguQE8E,240.084,44.985968750000005,real
real_51143,train,uXd38AhjpkQ,193.68,15.31971875,real
real_37038,train,YgTcxsDbV70,171.18,5.734718750000001,real
real_32847,train,En4UJE1TDf8,240.084,8.14784375,real
real_23449,train,MyPda4siafM,228.384,49.710968750000006,real
real_11581,train,HYFqCE5YB7E,237.852,14.67846875,real
real_34228,train,w6EcjAIpLfQ,170.82,10.493468750000002,real
real_16351,train,zoB8hdOaMy8,212.688,34.84409375,real
real_25491,train,bDpgpZY-gfw,240.084,65.77596875,real
real_49929,train,f07kaRJzYSE,240.084,6.42659375,real
real_42510,train,qHg49oSyfdI,240.084,4.43534375,real
real_22524,train,-RL9FG1SScU,199.332,0.50346875,real
real_47521,train,ueJeFWgxuYw,170.712,42.85971875,real
real_33954,train,wouywGKu7I0,229.428,149.45909375000002,real
real_07921,train,S3Vo_b-wYBI,206.532,4.53659375,real
real_30075,train,bLp7OSs9Veo,160.776,0.03096875,real
real_06317,train,eURQLyfW0Ms,186.12,17.024093750000002,real
real_42922,train,fShftAI2tvc,167.004,11.539718750000002,real
real_37490,train,gvuOge1T3oU,85.14,7.77659375,real
real_39972,train,0LcZ1IMOM2M,94.572,0.26721875,real
real_18383,train,tLrPChte8pE,240.084,20.65221875,real
real_44100,train,jq3k9aoU2vU,233.532,8.50221875,real
real_45665,train,I8jWXRiRbow,240.084,13.277843750000002,real
real_18507,train,t2mNgmu4PH4,240.084,13.649093750000002,real
real_36855,train,1uHye6VNaQ4,240.084,1.09409375,real
real_52426,train,ffmPrVb3TT0,182.268,18.86346875,real
real_24369,train,jO1ZQEj0_48,240.084,7.388468750000001,real
real_50481,train,y6F-CWlp5Bw,240.084,52.259093750000005,real
real_32819,train,6ITHzK_Diis,240.084,44.024093750000006,real
real_36682,train,hDtmps9tL1k,177.048,35.43471875,real
real_34153,train,RkpcxYZ2hqg,186.084,22.03596875,real
real_17383,train,gLIhzOBSypo,186.408,2.4778437500000003,real
real_19775,train,D0YGf2-EtLI,129.744,0.03096875,real
real_02862,train,2weGS0yyJH4,180.216,56.275343750000005,real
real_35240,train,CZH1Wa9BphA,240.084,13.24409375,real
real_11226,train,trk7P-9QDyc,240.084,180.77909375,real
real_44485,train,GSqciXWdCEE,126.144,15.235343750000002,real
real_32611,train,U4FtwWamPu4,192.096,0.14909375,real
real_46492,train,hkAEKKCNX_c,189.828,0.35159375,real
real_03850,train,3aBdHLA5shE,191.016,0.23346875,real
real_07088,train,i0WaH38L_Qk,179.316,13.125968750000002,real
real_22867,train,4IpG1LAhIh8,190.044,29.359718750000003,real
real_26379,train,4dGTkWY77iA,240.084,0.19971875,real
real_05917,train,HKLxvdFtlZE,221.976,7.69221875,real
real_10531,train,vq-zaD1poAE,218.16,64.59471875,real
real_05968,train,CnjR2W_Dif0,240.084,31.35096875,real
real_23387,train,kFDu6ACKLKo,240.084,21.765968750000003,real
real_17363,train,NL2VBU604Jw,229.176,20.922218750000003,real
real_28439,train,AYRfOozYUvk,217.26,6.527843750000001,real
real_02006,train,R8YwnQMQuJI,240.084,6.64596875,real
real_49738,train,j3u4dPibts8,188.676,11.860343750000002,real
real_36727,train,GlQxfixy4rc,240.084,3.42284375,real
